imc: *I,imc.tool.cov.version.diff: "There is a difference between the IMC tool version 24.03 and the coverage version 24.09-s005"
imc: *I,RUNLD: Successfully loaded run /home/student/pzieba/VDIC/lab06example/run/cov_work/scope/merged_results.
imc: *W,REPDEP: This is a legacy report and no future enhancement is planned for this report. It is recommended that you use the 'report_metrics' command and generate a dynamic report.
name                                     Overall Average      Overall Covered      Code Average         Code Covered         Fsm Average          Fsm Covered          Functional Average   Functional Covered   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
uvm_pkg                                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  
|--uvm_test_top                          n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  
| |--env_h                               n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  
| | |--coverage_h                        100.00%              100.00% (60/60)      n/a                  n/a                  n/a                  n/a                  100.00%              100.00% (60/60)      
top                                      100.00%              100.00% (2/2)        100.00%              100.00% (2/2)        n/a                  n/a                  n/a                  n/a                  
|--bfm                                   94.58%               96.55% (84/87)       94.58%               96.55% (84/87)       n/a                  n/a                  n/a                  n/a                  
|--DUT                                   100.00%              100.00% (106/106)    100.00%              100.00% (106/106)    n/a                  n/a                  n/a                  n/a                  
| |--u_single_cycle                      97.62%               98.46% (64/65)       97.62%               98.46% (64/65)       n/a                  n/a                  n/a                  n/a                  
| |--u_three_cycle                       100.00%              100.00% (79/79)      100.00%              100.00% (79/79)      n/a                  n/a                  n/a                  n/a                  
